t,pos,reward,action,layer_outputs
121,4.184440862145575,-4.184440862145575,0,"[-0.010161573998630047, -0.010242853313684464, -0.010962555184960365, -0.010194273665547371, -0.00867377407848835, -0.009026951156556606]"
122,4.1938548496026815,-4.1938548496026815,0,"[-0.11353323608636856, -0.11344604194164276, -0.11265667527914047, -0.1134977713227272, -0.11515834927558899, -0.11477332562208176]"
123,4.213553066411002,-4.213553066411002,0,"[-0.007924005389213562, -0.00801034551113844, -0.008781109005212784, -0.007959668524563313, -0.00633244076743722, -0.0067098792642354965]"
124,4.2026271691312544,-4.2026271691312544,0,"[-0.03164400905370712, -0.03168689087033272, -0.03208159655332565, -0.031660985201597214, -0.030824890360236168, -0.031019963324069977]"
125,4.2102870897528355,-4.2102870897528355,0,"[-0.09447687864303589, -0.09441876411437988, -0.0938861295580864, -0.09445363283157349, -0.09557545185089111, -0.09531500190496445]"
126,4.186097144660521,-4.186097144660521,0,"[-0.02000194974243641, -0.020064203068614006, -0.020636025816202164, -0.020026668906211853, -0.018820319324731827, -0.019102010875940323]"
127,4.21376976475304,-4.21376976475304,0,"[-0.12845949828624725, -0.1283542662858963, -0.12739445269107819, -0.12841683626174927, -0.13043347001075745, -0.12996573746204376]"
128,4.205132113586031,-4.205132113586031,0,"[0.05071745440363884, 0.050554536283016205, 0.04908651113510132, 0.0506514348089695, 0.053730156272649765, 0.05301768332719803]"
129,4.206302812659564,-4.206302812659564,0,"[-0.1250147968530655, -0.12491148710250854, -0.12397751212120056, -0.12497319281101227, -0.12693889439105988, -0.1264832615852356]"
130,4.217680621007517,-4.217680621007517,0,"[-0.021973583847284317, -0.022030113264918327, -0.022537672892212868, -0.021996378898620605, -0.020924746990203857, -0.02117324247956276]"
131,4.204879318476848,-4.204879318476848,0,"[-0.04463440179824829, -0.0446535162627697, -0.04483940079808235, -0.04464135318994522, -0.04425022378563881, -0.04434152692556381]"
132,4.181389810846433,-4.181389810846433,0,"[-0.0946023240685463, -0.09454578906297684, -0.094039686024189, -0.09457986801862717, -0.09564728289842606, -0.09539923816919327]"
133,4.174335449093772,-4.174335449093772,0,"[-0.09999300539493561, -0.0999295637011528, -0.09936118870973587, -0.09996701776981354, -0.10116452723741531, -0.10088702291250229]"
134,4.17122158167003,-4.17122158167003,0,"[-0.05864088982343674, -0.058640044182538986, -0.058629099279642105, -0.05864173173904419, -0.05866868048906326, -0.058661945164203644]"
135,4.169170133186073,-4.169170133186073,0,"[-0.06645861268043518, -0.06644701957702637, -0.06634026020765305, -0.06645282357931137, -0.06667950004339218, -0.0666273906826973]"
136,4.169677425686406,-4.169677425686406,0,"[-0.06053030863404274, -0.06052694842219353, -0.06049590930342674, -0.06052863225340843, -0.06059068813920021, -0.060575589537620544]"
137,4.206645788952961,-4.206645788952961,0,"[-0.0562579445540905, -0.05626217648386955, -0.05629350617527962, -0.05626048520207405, -0.056193578988313675, -0.05620967224240303]"
138,4.181643567687076,-4.181643567687076,0,"[0.04809863120317459, 0.04794512689113617, 0.04656987637281418, 0.04803654924035072, 0.05092573165893555, 0.05025773122906685]"
139,4.157672349698765,-4.157672349698765,0,"[-0.16030758619308472, -0.16016751527786255, -0.15891660749912262, -0.16025026142597198, -0.1628788858652115, -0.1622718721628189]"
140,4.162634574205246,-4.162634574205246,0,"[-0.08076481521129608, -0.08072398602962494, -0.08036356419324875, -0.08074720203876495, -0.08151903003454208, -0.08133760094642639]"
141,4.194172012255939,-4.194172012255939,0,"[-0.035279665142297745, -0.03531866893172264, -0.03566781431436539, -0.035295624285936356, -0.03455301374197006, -0.03472701460123062]"
142,4.192470022842154,-4.192470022842154,0,"[0.025511857122182846, 0.025390557944774628, 0.024306541308760643, 0.0254620723426342, 0.027742216363549232, 0.027214018628001213]"
143,4.200595133072203,-4.200595133072203,0,"[-0.09807534515857697, -0.09801621735095978, -0.0974913090467453, -0.09805154800415039, -0.09916126728057861, -0.0989030972123146]"
144,4.200091757787942,-4.200091757787942,0,"[-0.014756237156689167, -0.014821021817624569, -0.015406468883156776, -0.014782152138650417, -0.013543169014155865, -0.013830723240971565]"
145,4.179216113562661,-4.179216113562661,0,"[-0.07809484004974365, -0.07806503027677536, -0.07779748737812042, -0.07808275520801544, -0.07864949852228165, -0.078518345952034]"
146,4.212461523116766,-4.212461523116766,0,"[-0.10544008016586304, -0.1053759828209877, -0.10480161756277084, -0.10541367530822754, -0.10662146657705307, -0.1063409298658371]"
147,4.175564031270313,-4.175564031270313,0,"[0.06595822423696518, 0.06579664349555969, 0.06434470415115356, 0.06589193642139435, 0.06894204765558243, 0.06823468953371048]"
148,4.181145453649316,-4.181145453649316,0,"[-0.19530844688415527, -0.19514304399490356, -0.19365696609020233, -0.19524098932743073, -0.1983594447374344, -0.19763749837875366]"
149,4.150968141856594,-4.150968141856594,0,"[0.020594840869307518, 0.020503386855125427, 0.01968867890536785, 0.020557347685098648, 0.022255349904298782, 0.02186424843966961]"
150,4.1455126951069055,-4.1455126951069055,0,"[-0.16500036418437958, -0.16487565636634827, -0.1637570858001709, -0.16494958102703094, -0.16729465126991272, -0.1667529046535492]"
151,4.151491756697236,-4.151491756697236,0,"[-0.0329362116754055, -0.03295937925577164, -0.033178504556417465, -0.03294512256979942, -0.03249317407608032, -0.03259662166237831]"
152,4.138046917674817,-4.138046917674817,0,"[-0.051670461893081665, -0.05168586224317551, -0.05182100459933281, -0.05167815834283829, -0.051389776170253754, -0.051457397639751434]"
153,4.133738376261319,-4.133738376261319,0,"[-0.10035631060600281, -0.10030132532119751, -0.09980230033397675, -0.10033263266086578, -0.10138360410928726, -0.10113979130983353]"
154,4.139179316320972,-4.139179316320972,0,"[-0.05646081268787384, -0.05646335333585739, -0.05649805814027786, -0.05646250769495964, -0.05639225244522095, -0.05640917643904686]"
155,4.113945695982763,-4.113945695982763,0,"[-0.04368740692734718, -0.04371004179120064, -0.04390239343047142, -0.04369611293077469, -0.043285880237817764, -0.04338085278868675]"
156,4.102191654666863,-4.102191654666863,0,"[-0.13553272187709808, -0.1354399174451828, -0.13460715115070343, -0.13549503684043884, -0.13725127279758453, -0.13684339821338654]"
157,4.108672318972031,-4.108672318972031,0,"[-0.06962127983570099, -0.06960484385490417, -0.06945611536502838, -0.0696147158741951, -0.06993253529071808, -0.06985864043235779]"
158,4.100213973034642,-4.100213973034642,0,"[-0.03602242097258568, -0.03605693578720093, -0.03636661171913147, -0.03603658080101013, -0.03538113087415695, -0.035533562302589417]"
159,4.082559490166322,-4.082559490166322,0,"[-0.09405634552240372, -0.09401291608810425, -0.09361951798200607, -0.09403850138187408, -0.09486669301986694, -0.09467393159866333]"
160,4.123200148147738,-4.123200148147738,0,"[-0.10263042151927948, -0.10257802903652191, -0.10210612416267395, -0.10260916501283646, -0.10360577702522278, -0.1033746600151062]"
